Name,Sector 1,Sector 2,Sector 3,Index
1John Kiran,Product,IT,,1
2Sanjay Shrivastava,Industrial,Automotive,Energy and Environment,2
3Shashank Rana,Healthcare,Deep Tech(i.e AI/IoT/ML/DL),Consumer goods and services,3
4Narasimha Rao Nedunuri ,Healthcare,Energy and Environment,Deep Tech(i.e AI/IoT/ML/DL),4
Sameer Sortur,B2B Software,Deep Tech(i.e AI/IoT/ML/DL),FinTech,5
Devang Raja,Consumer goods and services,Energy and Environment,Agriculture,6
Dr Piyush Dalke,Agriculture,Healthcare,Social,13
Vishram Bapat ,Energy and Environment,Social,,14
Rajesh Vyas,FinTech,HR Tech,MarketPlace,15
16Nitin Mistry,Industrial,Consumer goods and services,Healthcare,16
17Sagar Babar,Deep Tech(i.e AI/IoT/ML/DL),Healthcare,,17
18Jayesh Matani ,Deep Tech(i.e AI/IoT/ML/DL),Blockchain,FinTech,18
19Abhay Tiwari,B2B Software,Consumer goods and services,Energy and Environment,19
20Swapnil Pandey,Consumer goods and services,B2B Software,Energy and Environment,20
Vishweshwar Joshi,,,Deep Tech(i.e AI/IoT/ML/DL),23
26Canara Bank,,,,26
27Canara Bank,,,,27
